id,date,rating,comment
178*****,2026-07-24 00:36:59,8,"곡성이 나홍진의 최고작이 될 수 있었던 이유는, 감독이 영화 안에 그럴싸한 공란을 만드는데 성공하였고 그 안에 관객과 평단이 그럴싸한 의미를 담아주었기 때문이라고 생각합니다. 호프에도 비슷한 공란이 존재하는데, 연출자가 전작과 달리 어설픈 무언가를 담으려다가 그만 밑천을 드러내버린 형국입니다. 하지만 이 부분을 제외하면 촬영과 미술 그리고 액션 연출은 한국 영화사에서 보기드문 수작임에 분명."
158*****,2026-07-23 23:01:43,2,모든 사람들이 만족할 수 없는 영화이다. 나에게는 최악의 영화이다.영화가 너무 뾰족하다. 나는 그 뾰족한 바늘에 찔리고 싶지 않다.나에게 그 뾰족한 것은 똥 묻은 바늘이다.
103*****,2026-07-23 21:04:53,1,"이걸 쓰레기라고 말하지 못한다면, 앞으로도 작품을 출품하는게 아니라 똥을 배설하는 꼴을 또 보게될 것이다."
112*****,2026-07-23 19:51:06,2,한줄요약해드립니다가오갤+진격거+약깐의 스즈메의 문단속+한국액션느낌=딱이느낌입니다.이런거 보고싶으시면 추천합니다.
500*****,2026-07-23 15:56:12,10,"호프를 시작으로 우리 영화도 더 빠르게 진화할거라는 희망이 든다.조인성과 정호연 다시 보게됐고, 조연들의 열연과 합이 좋아 더 실감나고 나도 그 안에 주민으로서 함께 하는 느낌이 작품 보는 내내 들었어서 조금 신기한 작품으로 오래 기억할 것 같다.특히 조인성 배우가 말을 넘 잘타서 외계인의 등장보다 더 놀라웠고 내내 감탄했다."
191*****,2026-07-23 09:15:34,4,"이 영화는 진짜 끝까지 봐야 평가할 수 있는 영화다. 그래서 별도 2개... 2,3편에 HOPE..희망을 걸어보자."
431*****,2026-07-23 00:10:01,10,연출.연기.음악 모든 게 완벽한 영화.끝날 때까지 긴장하고 봤다.너무 잼있어서 또 볼 예정.2탄도 기대됨
491*****,2026-07-22 21:18:38,5,"액션신과 미장센은 대단하지만, 그 외 모든 부분이 엉성하다."
500*****,2026-07-22 20:14:53,10,2시간30분동안 계속 긴장최고의 영화
500*****,2026-07-22 14:52:50,1,영화를 돈으로만보고 관객수만 늘릴려는 의도의 영화들은 이제 망한다고본다
485*****,2026-07-22 14:33:50,1,"댓글 알바들 고생많다..ㅋ돈은 필요없으니 내 시간이라도 돌려줘..개연성없는 전개와 마무리, 웃음코드로 사용하려 했는지 쓸데없는 대사들로 러닝타임 소비등등..도대체 해외에서 기립박수는 어케 받음.? 개같은 영화가 드디어 끝나서.?이 영화를 보면 20여년전 봉준호감독님의 괴물이 걸작임.."
500*****,2026-07-22 12:42:22,1,진짜 생각없이 보기 좋은 영화
500*****,2026-07-22 10:53:26,10,헛점 투성이인 영화가 최고로 신나고 잼있는 영화....!!!!
749****,2026-07-22 08:57:57,10,한국영화 이런영화없을듯요! 최고입니다!다시 보고 싶은 영화! 영화는 그냥 영화로 봐야죠!잘되면 배아픈 민족인가요? BTS도 그렇고요~~
65y*****,2026-07-22 06:47:01,10,아는 맛이 아니라서 맛 없다고 하는 건 억지.  대중 영화라고 한 대도 대중은 다 같을 수 없는 법.  두리뭉실한 영화보다 날 선 영화를 고집 하던 나감독. 그의  최고 논란 작. 이 말은 곧 가장 나홍진 같은 영화를 맏들었다는 얘기. 절대자를 상대해야 하는 소시민 이야기 2. 내일도 그들은 절대자와 대면해야 하는 운명. 이 얼마나 심각한 결말인가. 속편이 나온다면  모를까. 영화 속 호포항 앞날은 종말 아닌가.
396*****,2026-07-22 00:15:12,10,처음엔 약간 내용이 매끄럽지 못한감은 좀 있지만~그런데로 몰입감 재미나 연기력등이좋아  ~ 재미있게 봤습니다~
